user_id,session_id,event_date,event_type,product_id,device_type,traffic_source,country
6968,U6968_S1,2024-01-01 08:52:51,signup,,Tablet,Email,United Kingdom
1921,U1921_S1,2024-01-01 09:00:40,signup,,Mobile,Social,Germany
2801,U2801_S1,2024-01-01 09:12:14,signup,,Tablet,Referral,France
3037,U3037_S1,2024-01-01 09:36:05,signup,,Mobile,Social,Australia
2493,U2493_S1,2024-01-01 11:07:20,signup,,Mobile,Social,Canada
6787,U6787_S1,2024-01-01 12:02:13,signup,,Desktop,Paid Search,Germany
4496,U4496_S1,2024-01-01 12:25:26,signup,,Tablet,Email,United States
8420,U8420_S1,2024-01-01 13:35:02,signup,,Tablet,Social,Germany
3313,U3313_S1,2024-01-01 14:02:09,signup,,Tablet,Social,United Kingdom
1863,U1863_S1,2024-01-01 14:02:58,signup,,Mobile,Referral,United States
7222,U7222_S1,2024-01-01 14:05:10,signup,,Desktop,Social,United Kingdom
6530,U6530_S1,2024-01-01 14:52:22,signup,,Tablet,Email,Germany
7222,U7222_S2,2024-01-01 17:00:10,product_view,P0050,Desktop,Social,United Kingdom
7849,U7849_S1,2024-01-01 17:06:35,signup,,Tablet,Referral,United Kingdom
8396,U8396_S1,2024-01-01 17:53:33,signup,,Mobile,Email,Germany
5101,U5101_S1,2024-01-01 18:31:33,signup,,Mobile,Referral,Germany
3200,U3200_S1,2024-01-01 19:08:42,signup,,Mobile,Referral,Australia
3353,U3353_S1,2024-01-01 19:24:46,signup,,Mobile,Social,Canada
4220,U4220_S1,2024-01-01 19:38:34,signup,,Mobile,Referral,France
4078,U4078_S1,2024-01-01 20:12:49,signup,,Mobile,Organic Search,Canada
6539,U6539_S1,2024-01-01 20:19:38,signup,,Tablet,Organic Search,Australia
6493,U6493_S1,2024-01-01 20:38:09,signup,,Desktop,Organic Search,Australia
4318,U4318_S1,2024-01-01 21:20:31,signup,,Mobile,Email,Australia
6493,U6493_S2,2024-01-01 21:42:09,product_view,P0074,Desktop,Organic Search,Australia
4510,U4510_S1,2024-01-01 21:56:31,signup,,Tablet,Email,Australia
7324,U7324_S1,2024-01-01 21:57:22,signup,,Mobile,Email,United States
6787,U6787_S2,2024-01-01 21:59:13,add_to_cart,P0093,Desktop,Paid Search,Germany
8396,U8396_S2,2024-01-01 22:52:33,product_view,P0087,Mobile,Email,Germany
5101,U5101_S2,2024-01-02 01:44:33,product_view,P0021,Mobile,Referral,Germany
5101,U5101_S3,2024-01-02 05:50:33,product_view,P0023,Mobile,Referral,Germany
1096,U1096_S1,2024-01-02 08:00:22,signup,,Tablet,Paid Search,Australia
6749,U6749_S1,2024-01-02 08:00:51,signup,,Tablet,Organic Search,Canada
989,U989_S1,2024-01-02 08:04:44,signup,,Mobile,Paid Search,Canada
3943,U3943_S1,2024-01-02 08:39:51,signup,,Tablet,Referral,United Kingdom
7222,U7222_S3,2024-01-02 08:51:10,add_to_cart,P0093,Desktop,Social,United Kingdom
4220,U4220_S2,2024-01-02 09:04:34,product_view,P0103,Mobile,Referral,France
2749,U2749_S1,2024-01-02 09:35:33,signup,,Desktop,Referral,Germany
3313,U3313_S2,2024-01-02 09:42:09,product_view,P0047,Tablet,Social,United Kingdom
